data,fraction_of_full_dataset,number_of_datapoints,seed,value
Sec. Str.,100,9712,99,0.8268943237037433
Sec. Str.,50,4856,99,0.8215544401132056
Sec. Str.,25,2428,99,0.8212340470977733
Sec. Str.,12.5,1214,99,0.8145191434826721
Sec. Str.,6.25,607,99,0.8084717253163881
Sec. Str.,3.12,303,99,0.8033721364874246
Sec. Str.,1.56,151,99,0.788967800501949
Sec. Str.,0.78,75,99,0.7845757462487318
Sec. Str.,0.39,37,99,0.7546590484327441
Sec. Str.,100,9712,98,0.828629785870668
Sec. Str.,50,4856,98,0.8217012869119453
Sec. Str.,25,2428,98,0.8198456773642334
Sec. Str.,12.5,1214,98,0.8144924440647194
Sec. Str.,6.25,607,98,0.808231430554814
Sec. Str.,3.12,303,98,0.8025177551129385
Sec. Str.,1.56,151,98,0.7923185774550114
Sec. Str.,0.78,75,98,0.7845890959577081
Sec. Str.,0.39,37,98,0.6844662786351258
Sec. Str.,100,9712,97,0.8283093928552357
Sec. Str.,50,4856,97,0.8244513269610723
Sec. Str.,25,2428,97,0.8201527206706893
Sec. Str.,12.5,1214,97,0.8162546056495968
Sec. Str.,6.25,607,97,0.808778768622844
Sec. Str.,3.12,303,97,0.8035189832861643
Sec. Str.,1.56,151,97,0.7879131734928179
Sec. Str.,0.78,75,97,0.7827201367010199
Sec. Str.,0.39,37,97,0.7398141720510493
GFP,100,21446,99,0.6929667029827927
GFP,50,10723,99,0.6883181389410472
GFP,25,5361,99,0.6739895541629727
GFP,12.5,2680,99,0.6504335715691563
GFP,6.25,1340,99,0.584058965834405
GFP,3.12,670,99,0.5254028636908005
GFP,100,21446,98,0.6886105907896077
GFP,50,10723,98,0.6891513623118282
GFP,25,5361,98,0.676874517447311
GFP,12.5,2680,98,0.6543639196228515
GFP,6.25,1340,98,0.6085709547803492
GFP,3.12,670,98,0.580614984938243
GFP,100,21446,97,0.6904461050860905
GFP,50,10723,97,0.692418266496854
GFP,25,5361,97,0.6739246499833469
GFP,12.5,2680,97,0.6502597856009287
GFP,6.25,1340,97,0.6062156223935785
GFP,3.12,670,97,0.5613272878045763
GB1,100,2691,99,0.878224281566995
GB1,50,1345,99,0.8547951789026008
GB1,25,672,99,0.8248935463187842
GB1,12.5,336,99,0.795232789209161
GB1,6.25,168,99,0.7751064960040419
GB1,3.12,84,99,0.7034843287114507
GB1,100,2691,98,0.8780070929179186
GB1,50,1345,98,0.8450413602929129
GB1,25,672,98,0.8110248689607985
GB1,12.5,336,98,0.7856788503443056
GB1,6.25,168,98,0.6722498122752752
GB1,3.12,84,98,0.4681215665934253
GB1,100,2691,97,0.8810158636067499
GB1,50,1345,97,0.8623118110951177
GB1,25,672,97,0.809341167153591
GB1,12.5,336,97,0.7584403735037656
GB1,6.25,168,97,0.7403102455557787
GB1,3.12,84,97,0.5384263012882488
Disorder,100,1056,99,0.7476933452486481
Disorder,50,528,99,0.6675494684665941
Disorder,25,264,99,0.644208321594769
Disorder,12.5,132,99,0.6497933425165989
Disorder,6.25,66,99,0.5643638580934868
Disorder,3.12,33,99,0.558156427609362
Disorder,100,1056,98,0.7292773472277297
Disorder,50,528,98,0.693673646630591
Disorder,25,264,98,0.7083950581957282
Disorder,12.5,132,98,0.6145122921415948
Disorder,6.25,66,98,0.5924083387181109
Disorder,3.12,33,98,0.6193809291562123
Disorder,100,1056,97,0.7438171888462157
Disorder,50,528,97,0.6893853180157471
Disorder,25,264,97,0.6888041488637142
Disorder,12.5,132,97,0.6466710879422672
Disorder,6.25,66,97,0.6236760222320579
Disorder,3.12,33,97,0.5571370809007309
Meltome,100,22335,99,0.6378495168201967
Meltome,50,11167,99,0.5881150221384988
Meltome,25,5583,99,0.5616722114255748
Meltome,12.5,2790,99,0.5455589837344026
Meltome,6.25,1395,99,0.5028573626773878
Meltome,3.12,697,99,0.4854775159070844
Meltome,100,22335,98,0.6262196321784934
Meltome,50,11167,98,0.5911712709690313
Meltome,25,5583,98,0.575637297262867
Meltome,12.5,2790,98,0.5053861054128029
Meltome,6.25,1395,98,0.4725588810454185
Meltome,3.12,697,98,0.4340718958018796
Meltome,100,22335,97,0.6147729270644285
Meltome,50,11167,97,0.5803898457709771
Meltome,25,5583,97,0.5500149070990902
Meltome,12.5,2790,97,0.5167577776819652
Meltome,6.25,1395,97,0.5046612103013643
Meltome,3.12,697,97,0.4693951103107056
Sub. Loc.,100,9503,99,0.6061224489795919
Sub. Loc.,50,4751,99,0.6265306122448979
Sub. Loc.,25,2375,99,0.6020408163265306
Sub. Loc.,12.5,1187,99,0.6081632653061224
Sub. Loc.,6.25,593,99,0.5346938775510204
Sub. Loc.,3.12,296,99,0.4204081632653061
Sub. Loc.,100,9503,98,0.6142857142857143
Sub. Loc.,50,4751,98,0.6061224489795919
Sub. Loc.,25,2375,98,0.6061224489795919
Sub. Loc.,12.5,1187,98,0.6020408163265306
Sub. Loc.,6.25,593,98,0.5673469387755102
Sub. Loc.,3.12,296,98,0.4040816326530612
Sub. Loc.,100,9503,97,0.6265306122448979
Sub. Loc.,50,4751,97,0.5816326530612245
Sub. Loc.,25,2375,97,0.610204081632653
Sub. Loc.,12.5,1187,97,0.573469387755102
Sub. Loc.,6.25,593,97,0.4959183673469388
Sub. Loc.,3.12,296,97,0.3918367346938775
