Model;Seed;AAV;GB1;GFP
ESM2 8M;99;0,825124384;0,891358336;0,68561038
ESM2 8M;98;0,84877067;0,882086412;0,688758536
ESM2 8M;97;0,806316747;0,874581709;0,690874217
ESM2 35M;99;0,77570074;0,874385197;0,69150347
ESM2 35M;98;0,818470367;0,880631091;0,687435226
ESM2 35M;97;0,830798352;0,881848861;0,688534505
ESM2 150M;99;0,848017002;0,878224282;0,692966703
ESM2 150M;98;;0,878007093;0,688610591
ESM2 150M;97;0,848019876;0,881015864;0,690446105
ESM2 150M;96;0,842381494;;
ESM2 650M;99;0,780918475;0,871038443;0,687813833
ESM2 650M;98;0,806944091;0,886129734;0,691967359
ESM2 650M;97;0,762198266;0,880908701;0,684908095
ESM2 3B LoRA;99;0,854094282;0,893365725;0,698749058
ESM2 3B LoRA;98;0,866382843;0,88927634;0,700004256
ESM2 3B LoRA;97;0,850053217;0,897676257;0,698995576
ProtT5;99;0,772459596;0,879405173;0,669162779
ProtT5;98;0,754837487;0,876142427;0,681770625
ProtT5;97;0,749652997;0,880580863;0,688290955
Ankh-base;99;0,830447906;0,865629587;0,690015598
Ankh-base;98;0,813566595;0,874152466;0,691881752
Ankh-base;97;0,795612477;0,855144255;0,693306222
Ankh-large;99;0,842377471;0,878315892;0,695643407
Ankh-large;98;0,83621235;0,893513101;0,691680667
Ankh-large;97;0,86130359;0,892250907;0,697790711
